scan_date,代碼,股票名稱,entry_price,訊號類型,訊號方向,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,成交量(張),status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-08-06,1785.TWO,光洋科,115.0,廣義上升三法,買,60,C觀察,2.56,>MA5,糾結,6412.4,tracking,1.0,,,,0.87,-2.17,0.87,-2.17,0.0
2026-08-06,5490.TWO,同亨,33.35,廣義上升三法,買,61,C觀察,3.62,MA5~10,多頭,1739.4,tracking,1.0,,,,-1.5,-7.95,-1.5,-7.95,0.0
2026-08-06,6509.TWO,聚和,47.0,廣義上升三法、單跳空,買,65,B可追蹤,1.13,>MA5,糾結,1306.4,tracking,1.0,,,,2.55,-0.21,2.55,-0.21,0.0
2026-08-06,8299.TWO,群聯,2025.0,漲停、漲幅達標,買,67,B可追蹤,6.99,>MA5,糾結,5663.5,tracking,1.0,,,,2.47,-2.72,2.47,-2.72,0.0
2026-08-06,1319.TW,東陽,76.5,雙跳空、單跳空,買,64,C觀察,1.57,>MA5,糾結,4239.3,tracking,1.0,,,,2.35,-0.92,2.35,-0.92,0.0
2026-08-06,1526.TW,日馳,19.15,廣義上升三法、漲停、漲幅達標、周1K,買,100,A強勢追蹤,6.51,>MA5,多頭,1773.2,tracking,1.0,,,,1.57,-4.7,1.57,-4.7,0.0
2026-08-06,1597.TW,直得,143.0,廣義上升三法,買,64,C觀察,9.6,>MA5,糾結,2878.9,tracking,1.0,,,,9.44,-1.4,9.44,-1.4,0.0
2026-08-06,1709.TW,和益,27.65,周1K,買,63,C觀察,8.34,>MA5,糾結,7607.2,tracking,1.0,,,,2.89,-1.08,2.89,-1.08,0.0
2026-08-06,1711.TW,永光,35.5,廣義上升三法、單跳空,買,56,C觀察,1.62,>MA5,糾結,1970.6,tracking,1.0,,,,0.99,-2.82,0.99,-2.82,0.0
2026-08-06,1714.TW,和桐,16.2,雙跳空、漲停、漲幅達標、單跳空、周1K,買,100,A強勢追蹤,5.07,>MA5,糾結,19106.2,tracking,1.0,,,,4.94,-4.32,4.94,-4.32,0.0
2026-08-06,2006.TW,東和鋼鐵,86.2,廣義上升三法、漲停、漲幅達標、周1K,買,100,A強勢追蹤,8.31,>MA5,多頭,11076.0,tracking,1.0,,,,2.67,-1.04,2.67,-1.04,0.0
2026-08-06,2030.TW,彰源,17.95,單跳空、周1K,買,65,B可追蹤,1.45,>MA5,糾結,1307.6,tracking,1.0,,,,3.62,0.28,3.62,0.28,0.0
2026-08-06,2069.TW,運錩,19.4,3K反轉、布林縮窄突破、廣義上升三法,買,99,A強勢追蹤,3.09,>MA5,糾結,1120.5,tracking,1.0,,,,6.19,0.26,6.19,0.26,0.0
2026-08-06,2302.TW,麗正,43.05,廣義上升三法、周1K,買,69,B可追蹤,4.82,>MA5,糾結,2538.5,tracking,1.0,,,,3.37,-1.16,3.37,-1.16,0.0
2026-08-06,2312.TW,金寶,32.2,廣義上升三法、周1K,買,76,A強勢追蹤,2.62,>MA5,糾結,9714.7,tracking,1.0,,,,-0.47,-2.8,-0.47,-2.8,0.0
2026-08-06,2328.TW,廣宇,45.1,廣義上升三法、單跳空,買,72,B可追蹤,2.23,>MA5,糾結,3046.3,tracking,1.0,,,,4.66,-0.55,4.66,-0.55,0.0
2026-08-06,2338.TW,光罩,39.65,廣義上升三法、單跳空,買,56,C觀察,0.8,>MA5,糾結,1600.6,tracking,1.0,,,,1.01,-2.4,1.01,-2.4,0.0
