scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d
2026-07-31,2540.TW,愛山林,58.9,週黃金交叉,92,A強勢追蹤,3.9,>MA5,多頭,74.8,64.1,56.6,46.4,0.5296,-,-,tracking,,,,,,,,,
2026-07-31,2603.TW,長榮,201.0,週黃金交叉,58,C觀察,1.4,MA10~20,多頭,50.0,60.5,32.1,31.9,0.9591,-,-,tracking,,,,,,,,,
2026-07-31,2615.TW,萬海,84.4,即將黃金交叉,56,C觀察,1.5,MA5~10,多頭,61.0,63.2,64.7,58.3,0.3581,-,-,tracking,,,,,,,,,
2026-07-31,2633.TW,台灣高鐵,26.3,黃金交叉,69,B可追蹤,0.12,>MA5,糾結,65.7,57.0,65.4,62.0,-0.0068,-,-,tracking,,,,,,,,,
2026-07-31,2801.TW,彰銀,24.8,黃金交叉,72,B可追蹤,1.24,>MA5,多頭,82.3,78.2,91.6,84.4,-0.0085,-,-,tracking,,,,,,,,,
2026-07-31,2845.TW,遠東銀,13.45,黃金交叉,84,A強勢追蹤,1.08,>MA5,多頭,57.8,51.4,84.2,74.8,-0.0254,-,-,tracking,,,,,,,,,
2026-07-31,2867.TW,三商壽,9.58,黃金交叉,100,A強勢追蹤,3.94,>MA5,多頭,70.6,68.4,87.2,81.1,0.021,-,-,tracking,,,,,,,,,
2026-07-31,2880.TW,華南金,42.65,黃金交叉,82,A強勢追蹤,3.78,>MA5,多頭,89.3,87.3,91.8,80.7,0.1106,-,-,tracking,,,,,,,,,
2026-07-31,2889.TW,國票金,15.65,黃金交叉,74,B可追蹤,1.08,>MA5,糾結,47.7,45.8,72.0,65.3,-0.0383,-,-,tracking,,,,,,,,,
2026-07-31,2892.TW,第一金,35.5,MACD翻正,63,C觀察,2.15,>MA5,多頭,85.2,81.3,93.2,86.9,0.0116,-,-,tracking,,,,,,,,,
2026-07-31,3543.TW,州巧,30.05,漲幅達標、週黃金交叉、MACD翻正、趨勢突破,86,A強勢追蹤,2.39,>MA5,空頭,41.4,22.7,19.3,15.3,0.0508,趨勢突破,2.81,tracking,,,,,,,,,
2026-07-31,4904.TW,遠傳,105.5,週黃金交叉,58,C觀察,1.15,MA5~10,多頭,71.6,75.3,57.6,57.5,0.6575,-,-,tracking,,,,,,,,,
2026-07-31,6919.TW,康霈*,103.0,黃金交叉、週黃金交叉,59,C觀察,1.6,>MA5,空頭,29.0,25.9,44.9,44.3,-0.5651,-,-,tracking,,,,,,,,,
2026-07-31,8271.TW,宇瞻,204.0,週黃金交叉,61,C觀察,2.09,MA5~10,多頭,71.8,73.8,33.9,33.5,3.7551,-,-,tracking,,,,,,,,,
2026-07-31,9907.TW,統一實,15.35,週黃金交叉,70,B可追蹤,0.14,>MA5,糾結,68.1,56.6,16.8,15.8,0.0564,-,-,tracking,,,,,,,,,
2026-07-31,9945.TW,潤泰新,26.7,黃金交叉,74,B可追蹤,0.47,>MA5,糾結,50.9,48.5,68.5,64.5,-0.0319,-,-,tracking,,,,,,,,,
2026-07-31,5904.TWO,寶雅,720.0,週即將黃金交叉、MACD翻正,74,B可追蹤,4.7,>MA5,糾結,66.7,50.7,65.7,68.4,1.7952,-,-,tracking,,,,,,,,,
2026-07-31,6588.TWO,東典光電,81.0,週黃金交叉,57,C觀察,1.05,MA5~10,糾結,63.3,62.9,16.5,14.3,2.5991,-,-,tracking,,,,,,,,,
2026-07-31,6620.TWO,漢達,96.3,漲幅達標、跳空、週黃金交叉,62,C觀察,2.17,>MA5,糾結,58.6,39.5,60.2,59.4,-0.4236,-,-,tracking,,,,,,,,,
2026-07-31,8421.TWO,旭源,15.4,跳空、黃金交叉,79,A強勢追蹤,4.17,>MA5,糾結,44.0,36.7,50.1,45.9,-0.0924,-,-,tracking,,,,,,,,,
2026-07-31,1477.TW,聚陽,219.5,MACD翻正,57,C觀察,0.21,>MA5,糾結,60.2,47.2,38.9,43.7,0.1693,-,-,tracking,,,,,,,,,
